yesreason,yeslevel,noreason,nolevel,yes_no
agree1,不同意,disagree1,不同意,yes
agree1,不同意,disagree1,不同意,yes
agree1,不同意,disagree1,不同意,yes
agree1,不同意,disagree1,不同意,yes
agree1,不同意,disagree1,不同意,yes
agree1,不同意,disagree1,不同意,yes
agree1,不同意,disagree1,不同意,yes
agree1,不同意,disagree1,不同意,yes
agree1,不同意,disagree1,不同意,yes
agree2,不同意,disagree1,不同意,yes
agree3,不同意,disagree1,不同意,yes
agree3,不同意,disagree1,不同意,yes
agree3,不同意,disagree1,不同意,yes
agree3,不同意,disagree1,不同意,yes
agree4,不同意,disagree1,不同意,yes
agree4,不同意,disagree1,不同意,yes
agree5,不同意,disagree3,不同意,yes
agree5,不同意,disagree3,不同意,yes
agree5,不同意,disagree3,不同意,yes
agree5,不同意,disagree3,不同意,yes
agree5,不同意,disagree3,不同意,yes
agree5,不同意,disagree3,不同意,yes
agree5,不同意,disagree4,不同意,yes
agree5,不同意,disagree4,不同意,yes
agree5,不同意,disagree4,不同意,yes
agree6,不同意,disagree4,不同意,yes
agree6,不同意,disagree4,不同意,yes
agree6,不同意,disagree4,不同意,yes
agree6,不同意,disagree4,不同意,yes
agree6,不同意,disagree4,不同意,yes
agree6,不同意,disagree4,不同意,yes
agree1,同意,disagree4,不同意,yes
agree1,同意,disagree5,不同意,yes
agree1,同意,disagree5,不同意,yes
agree1,同意,disagree5,不同意,yes
agree1,同意,disagree6,不同意,yes
agree1,同意,disagree6,不同意,yes
agree1,同意,disagree6,不同意,yes
agree1,同意,disagree7,不同意,yes
agree1,同意,disagree7,不同意,yes
agree1,同意,disagree7,不同意,yes
agree1,同意,disagree7,不同意,yes
agree1,同意,disagree7,不同意,yes
agree1,同意,disagree7,不同意,yes
agree1,同意,disagree7,不同意,yes
agree1,同意,disagree7,不同意,yes
agree1,同意,disagree7,不同意,yes
agree1,同意,disagree7,不同意,yes
agree1,同意,disagree7,不同意,yes
agree1,同意,disagree7,不同意,yes
agree1,同意,disagree7,不同意,yes
agree1,同意,disagree7,不同意,yes
agree2,同意,disagree7,不同意,yes
agree2,同意,disagree7,不同意,yes
agree2,同意,disagree7,不同意,yes
agree2,同意,disagree7,不同意,yes
agree2,同意,disagree7,不同意,yes
agree2,同意,disagree7,不同意,yes
agree2,同意,disagree7,不同意,yes
agree2,同意,disagree7,不同意,yes
agree2,同意,disagree7,不同意,yes
agree2,同意,disagree7,不同意,yes
agree2,同意,disagree7,不同意,yes
agree2,同意,disagree1,同意,yes
agree2,同意,disagree1,同意,yes
agree2,同意,disagree1,同意,yes
agree2,同意,disagree1,同意,yes
agree2,同意,disagree1,同意,yes
agree2,同意,disagree1,同意,yes
agree2,同意,disagree1,同意,yes
agree2,同意,disagree1,同意,yes
agree2,同意,disagree1,同意,yes
agree2,同意,disagree1,同意,yes
agree2,同意,disagree1,同意,yes
agree2,同意,disagree1,同意,yes
agree2,同意,disagree1,同意,yes
agree2,同意,disagree1,同意,yes
agree2,同意,disagree1,同意,yes
agree2,同意,disagree1,同意,yes
agree2,同意,disagree1,同意,yes
agree2,同意,disagree2,同意,yes
agree2,同意,disagree2,同意,yes
agree2,同意,disagree2,同意,yes
agree2,同意,disagree2,同意,yes
agree2,同意,disagree2,同意,yes
agree2,同意,disagree2,同意,yes
agree2,同意,disagree2,同意,yes
agree2,同意,disagree2,同意,yes
